dummy_case_field,ICD-9-CM Code,ICD-9-CM Code No Dec,ICD-9-CM Short Description,ICD-9-CM Long Description,AHRQ CCS Single Level Diagnosis Category Code,AHRQ CCS Single Level Diagnosis Category Name,Ursa Serial ID
,008.42,00842,Pseudomonas enteritis,Intestinal infection due to pseudomonas,135,Intestinal infection,60
,008.43,00843,Int infec campylobacter,Intestinal infection due to campylobacter,135,Intestinal infection,61
,008.44,00844,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica,135,Intestinal infection,62
,008.45,00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,135,Intestinal infection,63
,008.46,00846,Intes infec oth anerobes,Intestinal infection due to other anaerobes,135,Intestinal infection,64
,008.47,00847,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria,135,Intestinal infection,65
,008.49,00849,Bacterial enteritis NEC,Intestinal infection due to other organisms,135,Intestinal infection,66
,008.5,0085,Bacterial enteritis NOS,"Bacterial enteritis, unspecified",135,Intestinal infection,67
,008.61,00861,Intes infec rotavirus,Enteritis due to rotavirus,135,Intestinal infection,68
,008.62,00862,Intes infec adenovirus,Enteritis due to adenovirus,135,Intestinal infection,69
,008.63,00863,Int inf norwalk virus,Enteritis due to norwalk virus,135,Intestinal infection,70
,008.64,00864,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's],135,Intestinal infection,71
,008.65,00865,Enteritis d/t calicivirs,Enteritis due to calicivirus,135,Intestinal infection,72
,008.66,00866,Intes infec astrovirus,Enteritis due to astrovirus,135,Intestinal infection,73
,008.67,00867,Int inf enterovirus NEC,Enteritis due to enterovirus nec,135,Intestinal infection,74
,008.69,00869,Other viral intes infec,Enteritis due to other viral enteritis,135,Intestinal infection,75
,008.8,0088,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified",135,Intestinal infection,76
,009.0,0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis",135,Intestinal infection,77
,009.1,0091,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",135,Intestinal infection,78
,009.2,0092,Infectious diarrhea NOS,Infectious diarrhea,135,Intestinal infection,79
,009.3,0093,Diarrhea of infect orig,Diarrhea of presumed infectious origin,135,Intestinal infection,80
,010.00,01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified",1,Tuberculosis,81
,010.01,01001,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done",1,Tuberculosis,82
,010.02,01002,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",1,Tuberculosis,83
,010.03,01003,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,84
,010.04,01004,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,85
,010.05,01005,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,86
,010.06,01006,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,87
,010.10,01010,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",1,Tuberculosis,88
,010.11,01011,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",1,Tuberculosis,89
,010.12,01012,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",1,Tuberculosis,90
,010.13,01013,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,91
,010.14,01014,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,92
,010.15,01015,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,93
,010.16,01016,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,94
,010.80,01080,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified",1,Tuberculosis,95
,010.81,01081,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done",1,Tuberculosis,96
,010.82,01082,Prim pr TB NEC-exam unkn,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",1,Tuberculosis,97
,010.83,01083,Prim prg TB NEC-micro dx,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,98
,010.84,01084,Prim prog TB NEC-cult dx,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,99
,010.85,01085,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,100
,010.86,01086,Prim prg TB NEC-oth test,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,101
,010.90,01090,Primary TB NOS-unspec,"Primary tuberculous infection, unspecified, unspecified",1,Tuberculosis,102
,010.91,01091,Primary TB NOS-no exam,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",1,Tuberculosis,103
,010.92,01092,Primary TB NOS-exam unkn,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",1,Tuberculosis,104
,010.93,01093,Primary TB NOS-micro dx,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,105
,010.94,01094,Primary TB NOS-cult dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,106
,010.95,01095,Primary TB NOS-histo dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,107
,010.96,01096,Primary TB NOS-oth test,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,108
,011.00,01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified",1,Tuberculosis,109
,011.01,01101,TB lung infiltr-no exam,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",1,Tuberculosis,110
,011.02,01102,TB lung infiltr-exm unkn,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",1,Tuberculosis,111
,011.03,01103,TB lung infiltr-micro dx,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,112
,011.04,01104,TB lung infiltr-cult dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,113
,011.05,01105,TB lung infiltr-histo dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,114
,011.06,01106,TB lung infiltr-oth test,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,115
,011.10,01110,TB lung nodular-unspec,"Tuberculosis of lung, nodular, unspecified",1,Tuberculosis,116
,011.11,01111,TB lung nodular-no exam,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",1,Tuberculosis,117
,011.12,01112,TB lung nodul-exam unkn,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",1,Tuberculosis,118
,011.13,01113,TB lung nodular-micro dx,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,119
,011.14,01114,TB lung nodular-cult dx,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,120
,011.15,01115,TB lung nodular-histo dx,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,121
,011.16,01116,TB lung nodular-oth test,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,122
,011.20,01120,TB lung w cavity-unspec,"Tuberculosis of lung with cavitation, unspecified",1,Tuberculosis,123
,011.21,01121,TB lung w cavity-no exam,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",1,Tuberculosis,124
,011.22,01122,TB lung cavity-exam unkn,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",1,Tuberculosis,125
,011.23,01123,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,126
,011.24,01124,TB lung w cavity-cult dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,127
,011.25,01125,TB lung w cavit-histo dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,128
,011.26,01126,TB lung w cavit-oth test,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,129
,011.30,01130,TB of bronchus-unspec,"Tuberculosis of bronchus, unspecified",1,Tuberculosis,130
,011.31,01131,TB of bronchus-no exam,"Tuberculosis of bronchus, bacteriological or histological examination not done",1,Tuberculosis,131
,011.32,01132,TB of bronchus-exam unkn,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",1,Tuberculosis,132
,011.33,01133,TB of bronchus-micro dx,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,133
,011.34,01134,TB of bronchus-cult dx,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",1,Tuberculosis,134
,011.35,01135,TB of bronchus-histo dx,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,135
,011.36,01136,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,136
,011.40,01140,TB lung fibrosis-unspec,"Tuberculous fibrosis of lung, unspecified",1,Tuberculosis,137
,011.41,01141,TB lung fibrosis-no exam,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",1,Tuberculosis,138
,011.42,01142,TB lung fibros-exam unkn,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",1,Tuberculosis,139
,011.43,01143,TB lung fibros-micro dx,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,140
,011.44,01144,TB lung fibrosis-cult dx,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,141
,011.45,01145,TB lung fibros-histo dx,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,142
,011.46,01146,TB lung fibros-oth test,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,143
,011.50,01150,TB bronchiectasis-unspec,"Tuberculous bronchiectasis, unspecified",1,Tuberculosis,144
,011.51,01151,TB bronchiect-no exam,"Tuberculous bronchiectasis, bacteriological or histological examination not done",1,Tuberculosis,145
,011.52,01152,TB bronchiect-exam unkn,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",1,Tuberculosis,146
,011.53,01153,TB bronchiect-micro dx,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,147
,011.54,01154,TB bronchiect-cult dx,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,148
,011.55,01155,TB bronchiect-histo dx,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,149
,011.56,01156,TB bronchiect-oth test,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,150
,011.60,01160,TB pneumonia-unspec,"Tuberculous pneumonia [any form], unspecified",1,Tuberculosis,151
,011.61,01161,TB pneumonia-no exam,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",1,Tuberculosis,152
,011.62,01162,TB pneumonia-exam unkn,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",1,Tuberculosis,153
,011.63,01163,TB pneumonia-micro dx,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,154
,011.64,01164,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,155
,011.65,01165,TB pneumonia-histo dx,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,156
,011.66,01166,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,157
,011.70,01170,TB pneumothorax-unspec,"Tuberculous pneumothorax, unspecified",1,Tuberculosis,158
,011.71,01171,TB pneumothorax-no exam,"Tuberculous pneumothorax, bacteriological or histological examination not done",1,Tuberculosis,159
,011.72,01172,TB pneumothorx-exam unkn,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",1,Tuberculosis,160
,011.73,01173,TB pneumothorax-micro dx,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,161
,011.74,01174,TB pneumothorax-cult dx,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,162
,011.75,01175,TB pneumothorax-histo dx,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,163
,011.76,01176,TB pneumothorax-oth test,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,164
,011.80,01180,Pulmonary TB NEC-unspec,"Other specified pulmonary tuberculosis, unspecified",1,Tuberculosis,165
,011.81,01181,Pulmonary TB NEC-no exam,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",1,Tuberculosis,166
,011.82,01182,Pulmon TB NEC-exam unkn,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",1,Tuberculosis,167
,011.83,01183,Pulmon TB NEC-micro dx,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,168
,011.84,01184,Pulmon TB NEC-cult dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,169
,011.85,01185,Pulmon TB NEC-histo dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,170
,011.86,01186,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,171
,011.90,01190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified",1,Tuberculosis,172
,011.91,01191,Pulmonary TB NOS-no exam,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",1,Tuberculosis,173
,011.92,01192,Pulmon TB NOS-exam unkn,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",1,Tuberculosis,174
,011.93,01193,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,175
,011.94,01194,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,176
,011.95,01195,Pulmon TB NOS-histo dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,177
,011.96,01196,Pulmon TB NOS-oth test,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,178
,012.00,01200,TB pleurisy-unspec,"Tuberculous pleurisy, unspecified",1,Tuberculosis,179
,012.01,01201,TB pleurisy-no exam,"Tuberculous pleurisy, bacteriological or histological examination not done",1,Tuberculosis,180
,012.02,01202,TB pleurisy-exam unkn,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",1,Tuberculosis,181
,012.03,01203,TB pleurisy-micro dx,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,182
,012.04,01204,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,183
,012.05,01205,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,184
,012.06,01206,TB pleurisy-oth test,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,185
,012.10,01210,TB thoracic nodes-unspec,"Tuberculosis of intrathoracic lymph nodes, unspecified",1,Tuberculosis,186
,012.11,01211,TB thorax node-no exam,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",1,Tuberculosis,187
,012.12,01212,TB thorax node-exam unkn,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",1,Tuberculosis,188
,012.13,01213,TB thorax node-micro dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,189
,012.14,01214,TB thorax node-cult dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,190
,012.15,01215,TB thorax node-histo dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,191
,012.16,01216,TB thorax node-oth test,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,192
,012.20,01220,Isol tracheal tb-unspec,"Isolated tracheal or bronchial tuberculosis, unspecified",1,Tuberculosis,193
,012.21,01221,Isol tracheal tb-no exam,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",1,Tuberculosis,194
,012.22,01222,Isol trach tb-exam unkn,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",1,Tuberculosis,195
,012.23,01223,Isolat trach tb-micro dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,196
,012.24,01224,Isol tracheal tb-cult dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,197
,012.25,01225,Isolat trach tb-histo dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,198
,012.26,01226,Isolat trach tb-oth test,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,199
,012.30,01230,TB laryngitis-unspec,"Tuberculous laryngitis, unspecified",1,Tuberculosis,200
,012.31,01231,TB laryngitis-no exam,"Tuberculous laryngitis, bacteriological or histological examination not done",1,Tuberculosis,201
,012.32,01232,TB laryngitis-exam unkn,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)",1,Tuberculosis,202
,012.33,01233,TB laryngitis-micro dx,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,203
,012.34,01234,TB laryngitis-cult dx,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,204
,012.35,01235,TB laryngitis-histo dx,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,205
,012.36,01236,TB laryngitis-oth test,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,206
,012.80,01280,Resp TB NEC-unspec,"Other specified respiratory tuberculosis, unspecified",1,Tuberculosis,207
,012.81,01281,Resp TB NEC-no exam,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",1,Tuberculosis,208
,012.82,01282,Resp TB NEC-exam unkn,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",1,Tuberculosis,209
,012.83,01283,Resp TB NEC-micro dx,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",1,Tuberculosis,210
,012.84,01284,Resp TB NEC-cult dx,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1,Tuberculosis,211
,012.85,01285,Resp TB NEC-histo dx,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1,Tuberculosis,212
,012.86,01286,Resp TB NEC-oth test,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1,Tuberculosis,213
,013.00,01300,TB meningitis-unspec,"Tuberculous meningitis, unspecified",1,Tuberculosis,214
